symptom_description,disease_label
"It is pure agony to swallow anything, and when I look in the mirror, the back of my throat is bright red, swollen, and covered in nasty white spots. I do not know what to do about it anymore.",Tonsillitis
"For the past few days, i just lost all physical strength in my left arm and leg out of nowhere, and my balance is entirely gone. I am hoping to find some relief soon.",Stroke
"To be honest, i feel utterly exhausted after every meal, i am losing weight without trying, and my mouth is always totally parched.",Type 2 Diabetes
"My urine looks very cloudy and smells unusually strong, and I am experiencing a dull, persistent ache deep in my lower pelvis.",UTI
"Unfortunately, my nose is severely congested and i feel incredibly run down, although my breathing remains perfectly normal so far.",COVID-19
"For the past few days, it feels exactly like there is a tight, heavy band squeezing all the way around my head, especially across my forehead. I am hoping to find some relief soon.",Tension Headache
"To be honest, my throat is intensely sore, the glands in my neck are swollen to the size of marbles, and i am running a moderate fever.",Tonsillitis
"Unfortunately, i feel deeply, chronically fatigued all the time, and i am gaining weight rapidly despite changing absolutely nothing about my diet. It is becoming quite difficult to manage.",Hypothyroidism
"It feels like someone is sitting on my chest, and I find myself gasping for air in the middle of the night.",Asthma
"I feel utterly exhausted, my breathing is very shallow and fast, and my lungs feel deeply congested and heavy.",Pneumonia
"To be honest, when i stand up from a chair too quickly, i get dizzy, and my hands and feet are always freezing.",Anaemia
"I am noticing that i am dealing with persistent blemishes on my forehead, but they are relatively mild and do not hurt. I do not know what to do about it anymore.",Acne
"My head feels slightly congested and I am sneezing quite a bit, though my energy levels are mostly normal. I am starting to get very concerned about it.",Common Cold
"Recently, i feel like i have been run over by a truck; my joints ache deeply, my head is throbbing, and i am burning up.",Influenza
"Unfortunately, my throat is intensely sore, the glands in my neck are swollen to the size of marbles, and i am running a moderate fever.",Tonsillitis
"I have a stuffy nose and a mild scratchy throat, but I am not running a fever and I can still go to work. I have never experienced anything exactly like this before.",Common Cold
"I feel a lot of fluid pressure behind my eardrum, and there is a yellowish discharge leaking out onto my pillow. It has been consistently bothering me for several days.",Ear Infection
"I must say, it feels exactly like there is a tight, heavy band squeezing all the way around my head, especially across my forehead. It has been consistently bothering me for several days.",Tension Headache
"Lately, i am crying frequently for no clear reason, and my appetite has entirely disappeared over the last few weeks. I am hoping to find some relief soon.",Depression
"Recently, i just lost all physical strength in my left arm and leg out of nowhere, and my balance is totally gone. I have never experienced anything exactly like this before.",Stroke
"Recently, i am suffering from a sharp, relentless pain in my lower back that wraps around my side and shoots down into my groin.",Kidney Stones
"Lately, my scalp feels tender and my head aches dully, mostly toward the end of a long, stressful day staring at my computer screen.",Tension Headache
"I am dealing with persistent blemishes on my forehead, but they are relatively mild and do not hurt. It is becoming quite difficult to manage.",Acne
"It is hard to explain, but i have noticed a massive breakout of cystic spots on my jawline, and it is incredibly tender to the touch.",Acne
"My vision abruptly became very blurry in my left eye, and I am experiencing a sudden, phenomenally severe headache unlike anything else. I have never experienced anything exactly like this before.",Stroke
"I have fluid filled blisters on one side of my face, accompanied by a mild fever and a deep, burning ache.",Shingles
"There is a sharp, agonizing stabbing pain deep inside my right ear, and my hearing is distinctly muffled on that side. The symptoms are really impacting my daily routine.",Ear Infection
"I cannot stop sneezing and my nasal passages are entirely blocked, although I do not have a fever. I do not know what to do about it anymore.",Allergic Rhinitis
"Unfortunately, i am dealing with pitted, discolored fingernails and dry, scaly patches of skin on my lower back that will not heal.",Psoriasis
"I must say, i feel deeply, chronically fatigued all the time, and i am gaining weight rapidly despite changing absolutely nothing about my diet.",Hypothyroidism
"It is hard to explain, but i cannot stop coughing, especially when i lay down to sleep, and i have a mild fever with body aches. I am hoping to find some relief soon.",Bronchitis
"For the past few days, when i stand up from a chair too quickly, i get dizzy, and my hands and feet are always freezing. I have never experienced anything exactly like this before.",Anaemia
"My stomach is extremely tender to the touch on the right side, and I just threw up everything I ate for breakfast.",Appendicitis
"Unfortunately, i have a deep, dull throbbing ache in my knees that makes walking up the stairs a monumental task. I have never experienced anything exactly like this before.",Arthritis
"I cannot stop coughing, especially when I lay down to sleep, and I have a mild fever with body aches.",Bronchitis
"For the past few days, my heart races sometimes when i climb stairs, and i just do not have the energy i used to possess.",Anaemia
"To be honest, my heart pounds rapidly in my chest for absolutely no reason, and i am gripped by a terror i cannot control. It has been consistently bothering me for several days.",Anxiety Disorder
"My throat is intensely sore, the glands in my neck are swollen to the size of marbles, and I am running a moderate fever.",Tonsillitis
"I cannot stop coughing, especially when I lay down to sleep, and I have a mild fever with body aches. It is becoming quite difficult to manage.",Bronchitis
"I must say, my torso is covered in intensely itchy red spots that are starting to form little fluid filled blisters.",Chickenpox
"I must say, i have noticed a massive breakout of cystic spots on my jawline, and it is very tender to the touch.",Acne
"It is hard to explain, but i get awful, sharp cramps in my lower belly and extreme bloating that only improves after i manage to pass a bowel movement.",IBS
"Lately, my throat feels scratchy and my eyes are watering constantly, which makes it very hard to focus on my work. The symptoms are really impacting my daily routine.",Allergic Rhinitis
"Lately, whenever i step outside into the pollen, my nose immediately starts running and my eyes become incredibly itchy. It has been consistently bothering me for several days.",Allergic Rhinitis
"It is hard to explain, but i feel a deep, drilling pain behind my left eye, and the headache is so severe that i have to lie in a totally dark room.",Migraine
"There is a steady, mild pressure on both sides of my head that is annoying but does not throb or cause nausea. The symptoms are really impacting my daily routine.",Tension Headache
"I have lost my sense of smell totally due to the congestion, and there is a terrible, persistent ache in my upper jaw. I have never experienced anything exactly like this before.",Sinusitis
"A tremendously painful, blistering rash has erupted in a band wrapping around the left side of my torso, and the skin feels like it is on fire. I am hoping to find some relief soon.",Shingles
"My knee is incredibly stiff, warm to the touch, and it pulses with an agonizing pain whenever I try to bend it.",Gout
"Recently, it feels as though my cold has moved down into my lungs, and i am wheezing slightly when i take a deep breath.",Bronchitis
"Unfortunately, i am suffering from explosive diarrhea and cold sweats, and i cannot even keep a single sip of water down.",Food Poisoning
"I cannot catch my breath at all after jogging a short distance, and I am coughing violently in the cold air. The symptoms are really impacting my daily routine.",Asthma
"My head feels slightly congested and I am sneezing quite a bit, though my energy levels are mostly normal. It is becoming quite difficult to manage.",Common Cold
"I must say, i have raised, angry red patches of skin totally covered in silvery scales on my elbows that itch relentlessly.",Psoriasis
"There are deep, painful pimples all over my cheeks that simply will not go away despite my daily face wash routine. It is extremely frustrating to deal with.",Acne
"I must say, my throat is intensely sore, the glands in my neck are swollen to the size of marbles, and i am running a moderate fever.",Tonsillitis
"I feel a profound, heavy emptiness inside, and I simply cannot find joy in any of the hobbies I used to love. I am starting to get very concerned about it.",Depression
"My face feels very tender to the touch, my nose is absolutely blocked, and I have a headache that gets significantly worse when I bend over. I am hoping to find some relief soon.",Sinusitis
"I must say, my knee is incredibly stiff, warm to the touch, and it pulses with an agonizing pain whenever i try to bend it. It is extremely frustrating to deal with.",Gout
"I have completely lost my appetite, I am running a low fever, and it hurts intensely whenever I cough or walk.",Appendicitis
"I am shivering uncontrollably in bed, my entire body hurts, and I have a harsh, dry cough that hurts my ribs. I am hoping to find some relief soon.",Influenza
"Unfortunately, i experience severe congestion and postnasal drip every spring, yet my body feels otherwise perfectly fine.",Allergic Rhinitis
"I am crying frequently for no clear reason, and my appetite has absolutely disappeared over the last few weeks. The symptoms are really impacting my daily routine.",Depression
"I must say, i have a burning sensation in my right eye, and the white part looks very inflamed and raw. The symptoms are really impacting my daily routine.",Conjunctivitis
"My eye is incredibly itchy and slightly swollen, but my actual vision does not seem to be blurry at all. It is becoming quite difficult to manage.",Conjunctivitis
"I have a persistent cough that produces no phlegm, and my airways feel constricted whenever I am around cats.",Asthma
"For the past few days, i am experiencing an agonizing, sharp stabbing pain in the lower right side of my abdomen that is getting worse by the hour. The symptoms are really impacting my daily routine.",Appendicitis
"I feel like there is a lump in my throat that I cannot swallow away, along with a frequent sour stomach.",GERD
"My vision occasionally gets a little blurry and I feel dizzy upon waking up, though the symptoms fade quickly. I do not know what to do about it anymore.",Hypertension
"There is a tremendous amount of pressure building behind my eyes and cheekbones, and my nasal discharge is thick and yellowish green. It has been consistently bothering me for several days.",Sinusitis
"It is hard to explain, but i just lost all physical strength in my left arm and leg out of nowhere, and my balance is entirely gone. It is becoming quite difficult to manage.",Stroke
"I am experiencing intense brain fog, severe chills, and a heavy feeling in my chest that makes breathing uncomfortable. It is extremely frustrating to deal with.",COVID-19
"I must say, my vision has been getting somewhat blurry over the last few months, and my hands and feet tingle with a strange numbness. I am hoping to find some relief soon.",Type 2 Diabetes
"My hands are covered in tiny blisters and the skin is peeling off, which makes washing dishes very painful. The symptoms are really impacting my daily routine.",Eczema
"Lately, it is pure agony to swallow anything, and when i look in the mirror, the back of my throat is bright red, swollen, and covered in nasty white spots.",Tonsillitis
"Lately, i am dealing with pitted, discolored fingernails and dry, scaly patches of skin on my lower back that will not heal. I am starting to get very concerned about it.",Psoriasis
"Unfortunately, a tremendously painful, blistering rash has erupted in a band wrapping around the left side of my torso, and the skin feels like it is on fire. I do not know what to do about it anymore.",Shingles
"My stomach is unusually tender to the touch on the right side, and I just threw up everything I ate for breakfast. It is becoming quite difficult to manage.",Appendicitis
"The joints in my fingers are swollen, red, and very stiff, especially when I first wake up in the morning. I do not know what to do about it anymore.",Arthritis
"Recently, i feel like there is a lump in my throat that i cannot swallow away, along with a frequent sour stomach. I have never experienced anything exactly like this before.",GERD
"The pain started mildly around my belly button yesterday, but now it has moved lower and I feel incredibly nauseous. I do not know what to do about it anymore.",Appendicitis
"For the past few days, it feels like there is a dark cloud over my head every day, and i am absolutely exhausted even after sleeping ten hours.",Depression
"I have entirely lost my appetite, I am running a low fever, and it hurts intensely whenever I cough or walk. I am starting to get very concerned about it.",Appendicitis
"To be honest, my ear is throbbing constantly, i am running a slight fever, and it hurts terribly when i chew my food. It is extremely frustrating to deal with.",Ear Infection
"For the past few days, i feel a constant, nagging urgency to use the bathroom, but often i cannot actually pass anything when i try.",IBS
I am noticing that my torso is covered in intensely itchy red spots that are starting to form little fluid filled blisters.,Chickenpox
"I have a mild fever, I feel highly lethargic, and there is a rash spreading from my back to my face. It is becoming quite difficult to manage.",Chickenpox
"Lately, my head feels slightly congested and i am sneezing quite a bit, though my energy levels are mostly normal.",Common Cold
"For the past few days, i am experiencing an agonizing, sharp stabbing pain in the lower right side of my abdomen that is getting worse by the hour. The symptoms are really impacting my daily routine.",Appendicitis
"The joint at the base of my big toe is swollen, bright red, and so excruciatingly painful that I cannot wear a shoe.",Gout
"I am noticing that i have a terrible sore throat, my voice is entirely muffled, and i have awful bad breath that i simply cannot brush away.",Tonsillitis
"I feel deeply, chronically fatigued all the time, and I am gaining weight rapidly despite changing absolutely nothing about my diet. I have never experienced anything exactly like this before.",Hypothyroidism
"Unfortunately, my face looks puffy, my voice sounds unusually hoarse, and i feel wholly drained of all physical energy.",Hypothyroidism
"I feel overwhelmingly nauseous and my abdomen is cramping intensely, though I have not actually vomited yet. I have never experienced anything exactly like this before.",Food Poisoning
"I am noticing that i am sweating profusely, feeling incredibly dizzy, and there is a tight squeezing sensation around my heart.",Heart Attack
"There are deep, painful pimples all over my cheeks that simply will not go away despite my daily face wash routine. It has been consistently bothering me for several days.",Acne
"Unfortunately, i have noticed a massive breakout of cystic spots on my jawline, and it is highly tender to the touch.",Acne
"I must say, my stomach is highly tender to the touch on the right side, and i just threw up everything i ate for breakfast.",Appendicitis
"For the past few days, there is a severe, localized pain just below my ribs on the right side, and it burns intensely when i try to urinate.",Kidney Stones
"For the past few days, my head feels slightly congested and i am sneezing quite a bit, though my energy levels are mostly normal. I am hoping to find some relief soon.",Common Cold
"Lately, whenever i step outside into the pollen, my nose immediately starts running and my eyes become incredibly itchy.",Allergic Rhinitis
"I must say, i have a dull ache in my left ear and a ringing sound that simply will not stop, making it impossible to focus.",Ear Infection
"My vision has been getting somewhat blurry over the last few months, and my hands and feet tingle with a strange numbness. It has been consistently bothering me for several days.",Type 2 Diabetes
"I must say, my stomach is churning violently, and i am alternating between terrible chills and a high fever in the bathroom. I am hoping to find some relief soon.",Food Poisoning
"It is hard to explain, but i have been violently throwing up and dealing with severe stomach cramps ever since i ate that questionable seafood. It is becoming quite difficult to manage.",Food Poisoning
"For the past few days, occasionally i get a dull, throbbing headache at the back of my skull and hear a faint buzzing in my ears. The symptoms are really impacting my daily routine.",Hypertension
"Unfortunately, i feel utterly exhausted, my breathing is very shallow and fast, and my lungs feel deeply congested and heavy. The symptoms are really impacting my daily routine.",Pneumonia
"I have a mild fever, I feel very lethargic, and there is a rash spreading from my back to my face. I have never experienced anything exactly like this before.",Chickenpox
I am noticing that my torso is covered in intensely itchy red spots that are starting to form little fluid filled blisters.,Chickenpox
"Lately, i experience severe congestion and postnasal drip every spring, yet my body feels otherwise perfectly fine. It has been consistently bothering me for several days.",Allergic Rhinitis
"I have lost my sense of smell wholly due to the congestion, and there is a terrible, persistent ache in my upper jaw. The symptoms are really impacting my daily routine.",Sinusitis
"The skin on my shoulder was tingling and itching for days, and today it broke out in a clustered, very painful rash. I am hoping to find some relief soon.",Shingles
"There is a tremendous amount of pressure building behind my eyes and cheekbones, and my nasal discharge is thick and yellowish green. I do not know what to do about it anymore.",Sinusitis
"The itching is absolutely unbearable, and I am noticing new red bumps appearing on my legs every few hours. It is extremely frustrating to deal with.",Chickenpox
"Lately, it feels as though my cold has moved down into my lungs, and i am wheezing slightly when i take a deep breath.",Bronchitis
"It is pure agony to swallow anything, and when I look in the mirror, the back of my throat is bright red, swollen, and covered in nasty white spots. I do not know what to do about it anymore.",Tonsillitis
"To be honest, my chest feels tight and burns terribly, and it is accompanied by a dry, raspy cough that worsens at night. I am starting to get very concerned about it.",GERD
"My chest feels incredibly tight, and I am making a loud wheezing noise every time I try to breathe out. It is becoming quite difficult to manage.",Asthma
"Recently, i am running a high fever and coughing up thick, rust colored phlegm, and my chest hurts with a stabbing pain whenever i inhale. It is becoming quite difficult to manage.",Pneumonia
"I have a persistent cough that produces no phlegm, and my airways feel constricted whenever I am around cats. It is extremely frustrating to deal with.",Asthma
"It is hard to explain, but i am experiencing a strange craving to chew on ice, accompanied by a constant, lingering fatigue.",Anaemia
"Unfortunately, there is a tremendous amount of pressure building behind my eyes and cheekbones, and my nasal discharge is thick and yellowish green.",Sinusitis
"For the past few days, i am feeling a bit under the weather with mild sinus pressure and a tickle in my throat that will not go away.",Common Cold
"I am writhing in bed because the pain in my side is so excruciating, and I feel intensely nauseous from the agony.",Kidney Stones
"I cannot stop shivering from my fever, and I have a persistent cough that makes my chest ache terribly.",Pneumonia
"I feel a lot of fluid pressure behind my eardrum, and there is a yellowish discharge leaking out onto my pillow. The symptoms are really impacting my daily routine.",Ear Infection
"Lately, my head feels slightly congested and i am sneezing quite a bit, though my energy levels are mostly normal.",Common Cold
"It is hard to explain, but my scalp is intensely flaky with thick, crusty plaques that bleed slightly if i accidentally scratch them too hard.",Psoriasis
"Recently, a tremendously painful, blistering rash has erupted in a band wrapping around the left side of my torso, and the skin feels like it is on fire. I do not know what to do about it anymore.",Shingles
"For the past few days, i am dealing with simultaneous vomiting and loose stools, making me feel dangerously dehydrated and weak. It has been consistently bothering me for several days.",Gastroenteritis
"It feels like there is a dark cloud over my head every day, and I am completely exhausted even after sleeping ten hours.",Depression
"For the past few days, there is a blinding, pulsing pain isolated entirely on the right side of my head, and i absolutely cannot tolerate any bright lights.",Migraine
"Lately, the skin on the inside of my elbows is brutally dry, flaky, and so itchy that i scratch it until it bleeds.",Eczema
"Lately, my stomach ties itself in knots, my palms sweat profusely, and i feel totally on edge during normal conversations. It is extremely frustrating to deal with.",Anxiety Disorder
"My wrists feel locked up and painful, although the stiffness does tend to improve slightly once I start moving around. The symptoms are really impacting my daily routine.",Arthritis
"It is hard to explain, but a tremendously painful, blistering rash has erupted in a band wrapping around the left side of my torso, and the skin feels like it is on fire.",Shingles
"To be honest, i cannot catch my breath at all after jogging a short distance, and i am coughing violently in the cold air. I have never experienced anything exactly like this before.",Asthma
"I must say, i have a dull, constant ache wrapping around my skull, accompanied by a lot of stiff tightness in my neck and shoulder muscles.",Tension Headache
"I am noticing that my abdomen is rumbling loudly, i am constantly nauseous, and my entire body feels totally drained of energy. I am hoping to find some relief soon.",Gastroenteritis
"I feel like there is a lump in my throat that I cannot swallow away, along with a frequent sour stomach. It is extremely frustrating to deal with.",GERD
"Whenever I step outside into the pollen, my nose immediately starts running and my eyes become incredibly itchy. It is becoming quite difficult to manage.",Allergic Rhinitis
"My stomach is churning violently, and I am alternating between terrible chills and a high fever in the bathroom. I do not know what to do about it anymore.",Food Poisoning
"For the past few days, i cannot stop scratching these bumps all over my arms, and some of them have already popped and crusted over.",Chickenpox
"There is a sharp, agonizing stabbing pain deep inside my right ear, and my hearing is distinctly muffled on that side. I am starting to get very concerned about it.",Ear Infection
"I am noticing that i started seeing weird zigzag lines in my vision, and shortly after, a severe, nauseating headache absolutely incapacitated me. The symptoms are really impacting my daily routine.",Migraine
"Lately, i feel totally exhausted all the time and my friends say i look unusually pale, even when i sleep for eight hours. It has been consistently bothering me for several days.",Anaemia
"The skin on the inside of my elbows is brutally dry, flaky, and so itchy that I scratch it until it bleeds. I am starting to get very concerned about it.",Eczema
"Unfortunately, i am crying frequently for no clear reason, and my appetite has wholly disappeared over the last few weeks. I am hoping to find some relief soon.",Depression
"Lately, i feel totally exhausted all the time and my friends say i look unusually pale, even when i sleep for eight hours.",Anaemia
"Lately, there is a horrific burning sensation every single time i urinate, and i feel a constant, desperate urge to go even when my bladder is wholly empty. I do not know what to do about it anymore.",UTI
"For the past few days, i am dealing with pitted, discolored fingernails and dry, scaly patches of skin on my lower back that will not heal.",Psoriasis
"My scalp feels tender and my head aches dully, mostly toward the end of a long, stressful day staring at my computer screen.",Tension Headache
"My vision occasionally gets a little blurry and I feel dizzy upon waking up, though the symptoms fade quickly.",Hypertension
"Recently, i generally feel perfectly fine, but my doctor warned me that my blood pressure readings are consistently dangerously high.",Hypertension
"To be honest, there is a blinding, pulsing pain isolated entirely on the right side of my head, and i absolutely cannot tolerate any bright lights. I do not know what to do about it anymore.",Migraine
"Recently, my head is throbbing violently with every heartbeat, i am unusually sensitive to loud noises, and i keep throwing up.",Migraine
"My heart pounds rapidly in my chest for absolutely no reason, and I am gripped by a terror I cannot control. I am starting to get very concerned about it.",Anxiety Disorder
"For the past few days, my oxygen feels low, my lips have a slight blue tint, and i am sweating profusely while coughing uncontrollably. It is becoming quite difficult to manage.",Pneumonia
"My bowel habits are entirely unpredictable, drastically swinging between severe constipation and sudden, urgent diarrhea.",IBS
"Unfortunately, my hands are covered in tiny blisters and the skin is peeling off, which makes washing dishes very painful. I am starting to get very concerned about it.",Eczema
"I must say, i feel a constant, nagging urgency to use the bathroom, but often i cannot actually pass anything when i try.",IBS
"Recently, my eye is incredibly itchy and slightly swollen, but my actual vision does not seem to be blurry at all.",Conjunctivitis
"Lately, i woke up in the middle of the night to a sudden, fiery pain in my ankle that feels like glass shards in my joint.",Gout
"Lately, there is a foul, acidic taste that constantly creeps up into the back of my throat, and i am burping relentlessly.",GERD
"Recently, it is pure agony to swallow anything, and when i look in the mirror, the back of my throat is bright red, swollen, and covered in nasty white spots. The symptoms are really impacting my daily routine.",Tonsillitis
"Unfortunately, i am running a high fever and coughing up thick, rust colored phlegm, and my chest hurts with a stabbing pain whenever i inhale.",Pneumonia
"Lately, there is a severe, localized pain just below my ribs on the right side, and it burns intensely when i try to urinate.",Kidney Stones
"For the past few days, i have raised, angry red patches of skin absolutely covered in silvery scales on my elbows that itch relentlessly.",Psoriasis
"For the past few days, there are sore, inflamed lesions on my knees that occasionally crack open and sting when i bend my legs. It is extremely frustrating to deal with.",Psoriasis
"I am noticing that i feel a profound, heavy emptiness inside, and i simply cannot find joy in any of the hobbies i used to love.",Depression
"The entire right side of my face suddenly went numb and began drooping, and I am finding it incredibly difficult to articulate my words clearly. The symptoms are really impacting my daily routine.",Stroke
"Unfortunately, my bowel habits are entirely unpredictable, drastically swinging between severe constipation and sudden, urgent diarrhea.",IBS
"Lately, there is a severe, localized pain just below my ribs on the right side, and it burns intensely when i try to urinate. I do not know what to do about it anymore.",Kidney Stones
"I was suddenly hit by overwhelming fatigue yesterday, accompanied by a high fever, severe chills, and agonizing muscle aches. The symptoms are really impacting my daily routine.",Influenza
"Lately, i am experiencing an agonizing, sharp stabbing pain in the lower right side of my abdomen that is getting worse by the hour.",Appendicitis
"I am noticing that my oxygen feels low, my lips have a slight blue tint, and i am sweating profusely while coughing uncontrollably.",Pneumonia
"My throat feels scratchy and my eyes are watering constantly, which makes it very hard to focus on my work. It is extremely frustrating to deal with.",Allergic Rhinitis
"I feel overwhelmingly nauseous and my abdomen is cramping intensely, though I have not actually vomited yet. The symptoms are really impacting my daily routine.",Food Poisoning
"To be honest, i have noticed that small cuts and bruises on my skin take an unusually long time to heal, and i feel hungry all the time. I am hoping to find some relief soon.",Type 2 Diabetes
"I have a deep, dull throbbing ache in my knees that makes walking up the stairs a monumental task.",Arthritis
"I am noticing that occasionally i get a dull, throbbing headache at the back of my skull and hear a faint buzzing in my ears.",Hypertension
"My entire body aches terribly, I have a scratching sore throat, and I am running a moderate fever. I am starting to get very concerned about it.",COVID-19
"For the past few days, my chest feels tight and burns terribly, and it is accompanied by a dry, raspy cough that worsens at night.",GERD
"To be honest, my hands are covered in tiny blisters and the skin is peeling off, which makes washing dishes profoundly painful.",Eczema
"My abdomen is rumbling loudly, I am constantly nauseous, and my entire body feels totally drained of energy. It has been consistently bothering me for several days.",Gastroenteritis
"Recently, there is a foul, acidic taste that constantly creeps up into the back of my throat, and i am burping relentlessly. It has been consistently bothering me for several days.",GERD
"My stomach is very tender to the touch on the right side, and I just threw up everything I ate for breakfast. I have never experienced anything exactly like this before.",Appendicitis
"To be honest, i am constantly worrying about the future, and my mind simply will not shut off when i try to sleep at night. I have never experienced anything exactly like this before.",Anxiety Disorder
"To be honest, there is a foul, acidic taste that constantly creeps up into the back of my throat, and i am burping relentlessly. It has been consistently bothering me for several days.",GERD
"To be honest, i feel totally exhausted all the time and my friends say i look unusually pale, even when i sleep for eight hours. I have never experienced anything exactly like this before.",Anaemia
"It is hard to explain, but my hands are covered in tiny blisters and the skin is peeling off, which makes washing dishes unusually painful.",Eczema
"My hands are covered in tiny blisters and the skin is peeling off, which makes washing dishes highly painful. The symptoms are really impacting my daily routine.",Eczema
"For the past few days, my oxygen feels low, my lips have a slight blue tint, and i am sweating profusely while coughing uncontrollably. It is extremely frustrating to deal with.",Pneumonia
"My head is throbbing violently with every heartbeat, I am profoundly sensitive to loud noises, and I keep throwing up. It is becoming quite difficult to manage.",Migraine
"It is hard to explain, but my knee is incredibly stiff, warm to the touch, and it pulses with an agonizing pain whenever i try to bend it. I have never experienced anything exactly like this before.",Gout
I am dealing with chronic pain in my hips that flares up terribly whenever the weather becomes cold and damp.,Arthritis
"To be honest, my oxygen feels low, my lips have a slight blue tint, and i am sweating profusely while coughing uncontrollably.",Pneumonia
"When I stand up from a chair too quickly, I get dizzy, and my hands and feet are always freezing. I am starting to get very concerned about it.",Anaemia
"I am noticing that i feel a constant, nagging urgency to use the bathroom, but often i cannot actually pass anything when i try. I have never experienced anything exactly like this before.",IBS
"I cannot stop sneezing and my nasal passages are entirely blocked, although I do not have a fever. The symptoms are really impacting my daily routine.",Allergic Rhinitis
"My scalp feels tender and my head aches dully, mostly toward the end of a long, stressful day staring at my computer screen. It has been consistently bothering me for several days.",Tension Headache
"I am noticing that i started seeing weird zigzag lines in my vision, and shortly after, a severe, nauseating headache absolutely incapacitated me. It is becoming quite difficult to manage.",Migraine
"It is hard to explain, but the itching is absolutely unbearable, and i am noticing new red bumps appearing on my legs every few hours. It has been consistently bothering me for several days.",Chickenpox
"Unfortunately, i feel like i have been run over by a truck; my joints ache deeply, my head is throbbing, and i am burning up.",Influenza
"Lately, i get awful, sharp cramps in my lower belly and extreme bloating that only improves after i manage to pass a bowel movement. It is becoming quite difficult to manage.",IBS
"My knee is incredibly stiff, warm to the touch, and it pulses with an agonizing pain whenever I try to bend it. I am starting to get very concerned about it.",Gout
"It is hard to explain, but a tremendously painful, blistering rash has erupted in a band wrapping around the left side of my torso, and the skin feels like it is on fire.",Shingles
"It is hard to explain, but it is pure agony to swallow anything, and when i look in the mirror, the back of my throat is bright red, swollen, and covered in nasty white spots.",Tonsillitis
"I am noticing that i feel a deep, drilling pain behind my left eye, and the headache is so severe that i have to lie in a totally dark room. I do not know what to do about it anymore.",Migraine
"I am writhing in bed because the pain in my side is so excruciating, and I feel intensely nauseous from the agony. I am hoping to find some relief soon.",Kidney Stones
"Unfortunately, i was suddenly hit by overwhelming fatigue yesterday, accompanied by a high fever, severe chills, and agonizing muscle aches. The symptoms are really impacting my daily routine.",Influenza
"I feel like I have been run over by a truck; my joints ache deeply, my head is throbbing, and I am burning up. It has been consistently bothering me for several days.",Influenza
"I am noticing that i have a terrible sore throat, my voice is totally muffled, and i have awful bad breath that i simply cannot brush away.",Tonsillitis
"I must say, i have totally lost my sense of taste and smell, and i am battling a persistent dry cough along with fatigue.",COVID-19
"Lately, my knee is incredibly stiff, warm to the touch, and it pulses with an agonizing pain whenever i try to bend it. I do not know what to do about it anymore.",Gout
"I do not have many symptoms, but I have noticed I get minor nosebleeds and feel flushed in the face sometimes.",Hypertension
"I am dealing with a deep, hacking cough that brings up thick yellow mucus, and my chest feels heavy and sore. The symptoms are really impacting my daily routine.",Bronchitis
"I have a dull, constant ache wrapping around my skull, accompanied by a lot of stiff tightness in my neck and shoulder muscles. I have never experienced anything exactly like this before.",Tension Headache
"To be honest, it feels as though my cold has moved down into my lungs, and i am wheezing slightly when i take a deep breath.",Bronchitis
"I am noticing that i am suffering from explosive diarrhea and cold sweats, and i cannot even keep a single sip of water down.",Food Poisoning
"For the past few days, my head feels like it is stuffed with cotton, i have a low grade fever, and thick mucus is constantly draining down the back of my throat.",Sinusitis
"I cannot catch my breath at all after jogging a short distance, and I am coughing violently in the cold air. I have never experienced anything exactly like this before.",Asthma
"Before the red spots appeared, I experienced sharp, shooting nerve pain in my back, and now the area is incredibly sensitive. It has been consistently bothering me for several days.",Shingles
"Lately, i was suddenly hit by overwhelming fatigue yesterday, accompanied by a high fever, severe chills, and agonizing muscle aches.",Influenza
"To be honest, a tremendously painful, blistering rash has erupted in a band wrapping around the left side of my torso, and the skin feels like it is on fire. It is extremely frustrating to deal with.",Shingles
"I am crying frequently for no clear reason, and my appetite has completely disappeared over the last few weeks.",Depression
"For the past few days, both of my eyes are highly watery and pink, and my eyelashes were glued shut with crust when i woke up.",Conjunctivitis
"It is hard to explain, but i feel like there is a lump in my throat that i cannot swallow away, along with a frequent sour stomach. I do not know what to do about it anymore.",GERD
"I do not have many symptoms, but I have noticed I get minor nosebleeds and feel flushed in the face sometimes. It is becoming quite difficult to manage.",Hypertension
"My head feels like it is stuffed with cotton, I have a low grade fever, and thick mucus is constantly draining down the back of my throat.",Sinusitis
"For the past few days, i have raised, angry red patches of skin wholly covered in silvery scales on my elbows that itch relentlessly.",Psoriasis
"For the past few days, i have absolutely lost my appetite, i am running a low fever, and it hurts intensely whenever i cough or walk. It is becoming quite difficult to manage.",Appendicitis
"Unfortunately, there is a tremendous amount of pressure building behind my eyes and cheekbones, and my nasal discharge is thick and yellowish green.",Sinusitis
"It is hard to explain, but i am writhing in bed because the pain in my side is so excruciating, and i feel intensely nauseous from the agony. I have never experienced anything exactly like this before.",Kidney Stones
"Unfortunately, i feel like there is a lump in my throat that i cannot swallow away, along with a frequent sour stomach. I have never experienced anything exactly like this before.",GERD
"I am dealing with simultaneous vomiting and loose stools, making me feel dangerously dehydrated and weak. It is becoming quite difficult to manage.",Gastroenteritis
"I must say, my abdomen is rumbling loudly, i am constantly nauseous, and my entire body feels totally drained of energy.",Gastroenteritis
"Unfortunately, the pain started mildly around my belly button yesterday, but now it has moved lower and i feel incredibly nauseous.",Appendicitis
