symptom_description,disease_label,cleaned,processed,num_label
"I started with my hair feels thinner, and now I also have constipation and dry skin. It comes and goes but keeps bothering me. At the same time, i do not have a rash that itches. I notice it more at certain times of day.",Hypothyroidism,i started with my hair feels thinner and now i also have constipation and dry skin it comes and goes but keeps bothering me at the same time i do not have a rash that itches i notice it more at certain times of day,start hair feel thin constipation dry skin come go keep bother time not rash itch notice certain time day,21
"I have had a few bumps have pus in them, painful pimples on my cheeks, and small red bumps on my face for on and off this month. It feels pretty intense today. I am uncomfortable enough that it is affecting my routine. One thing I can say is, i do not have body aches. I have not noticed much improvement.",Acne,i have had a few bumps have pus in them painful pimples on my cheeks and small red bumps on my face for on and off this month it feels pretty intense today i am uncomfortable enough that it is affecting my routine one thing i can say is i do not have body aches i have not noticed much improvement,bump pus painful pimple cheek small red bump face month feel pretty intense today uncomfortable affect routine thing not body ache not notice improvement,0
"I have had chest pain when I breathe deeply for for a few days, and I keep noticing my chest hurts when I cough as well as I feel shivery. It is knocking me about. Also, i do not have itchy eyes.",Pneumonia,i have had chest pain when i breathe deeply for for a few days and i keep noticing my chest hurts when i cough as well as i feel shivery it is knocking me about also i do not have itchy eyes,chest pain breathe deeply day notice chest hurt cough feel shivery knock not itchy eye,26
"I have had feeling empty for for a long time, and I keep noticing trouble getting myself going as well as loss of interest in things I usually enjoy. I feel off in myself. One thing I can say is, i do not have a rash.",Depression,i have had feeling empty for for a long time and i keep noticing trouble getting myself going as well as loss of interest in things i usually enjoy i feel off in myself one thing i can say is i do not have a rash,feel long time notice trouble get go loss interest thing usually enjoy feel thing not rash,12
"I have been dealing with I feel shivery and shortness of breath, and I also notice chest pain when I breathe deeply. It feels mild but persistent. It has been a real nuisance. At the same time, i do not have itchy eyes.",Pneumonia,i have been dealing with i feel shivery and shortness of breath and i also notice chest pain when i breathe deeply it feels mild but persistent it has been a real nuisance at the same time i do not have itchy eyes,deal feel shivery shortness breath notice chest pain breathe deeply feel mild persistent real nuisance time not itchy eye,26
"Lately I feel like I have feeling very tired, a dry cough, and I have a headache. I am sleeping poorly because of it. It feels severe and hard to ignore. On top of that, i do not have ear pain.",COVID-19,lately i feel like i have feeling very tired a dry cough and i have a headache i am sleeping poorly because of it it feels severe and hard to ignore on top of that i do not have ear pain,lately feel like feel tired dry cough headache sleep poorly feel severe hard ignore not ear pain,8
"I started with I can still function but it is annoying, and now I also have it feels like a tight strap around my head and stress seems to bring it on. It feels mild but persistent. On top of that, i do not have burning when i pee. I have been trying to take it easy.",Tension Headache,i started with i can still function but it is annoying and now i also have it feels like a tight strap around my head and stress seems to bring it on it feels mild but persistent on top of that i do not have burning when i pee i have been trying to take it easy,start function annoying feel like tight strap head stress bring feel mild persistent not burn pee try easy,31
"I have been dealing with a swollen hot joint and sharp joint pain, and I also notice even the bedsheet hurts against it. It feels mild but persistent. I feel off in myself. On top of that, i do not have burning when i pee.",Gout,i have been dealing with a swollen hot joint and sharp joint pain and i also notice even the bedsheet hurts against it it feels mild but persistent i feel off in myself on top of that i do not have burning when i pee,deal swollen hot joint sharp joint pain notice bedsheet hurt feel mild persistent feel not burn pee,18
"For the past few days, I have had my skin feels irritated, dry raised skin patches, and thick scaly patches on my skin for on and off lately. It feels pretty intense today. it is getting in the way of my normal day. At least, i do not have burning when i pee. it does not seem to settle fully.",Psoriasis,for the past few days i have had my skin feels irritated dry raised skin patches and thick scaly patches on my skin for on and off lately it feels pretty intense today it is getting in the way of my normal day at least i do not have burning when i pee it does not seem to settle fully,past day skin feel irritated dry raise skin patch thick scaly patch skin lately feel pretty intense today get way normal day not burn pee not settle fully,27
"Since earlier, I have had my stomach is churning, I cannot keep food down, and the cramps come in waves for since last night. It feels severe and hard to ignore. I am struggling to get through the day. At the same time, i do not have a blocked nose. I do not think it is from anything obvious.",Food Poisoning,since earlier i have had my stomach is churning i cannot keep food down and the cramps come in waves for since last night it feels severe and hard to ignore i am struggling to get through the day at the same time i do not have a blocked nose i do not think it is from anything obvious,early stomach churn not food cramp come wave night feel severe hard ignore struggle day time not block nose not think obvious,15
"I have had dry skin for for quite a while, and I keep noticing my hair feels thinner as well as I feel sluggish. It is knocking me about. On top of that, i do not have a cough.",Hypothyroidism,i have had dry skin for for quite a while and i keep noticing my hair feels thinner as well as i feel sluggish it is knocking me about on top of that i do not have a cough,dry skin notice hair feel thin feel sluggish knock not cough,21
"For for the past day, I have been dealing with my stomach feels upset, nausea, and feeling feverish. it is making simple tasks feel harder. It is knocking me about. On top of that, i do not have itchy eyes.",Gastroenteritis,for for the past day i have been dealing with my stomach feels upset nausea and feeling feverish it is making simple tasks feel harder it is knocking me about on top of that i do not have itchy eyes,past day deal stomach feel upset nausea feel feverish make simple task feel hard knock not itchy eye,17
"For for quite a while, I have noticed the pain often eases after I use the toilet, diarrhea on some days, and stress seems to make it worse. At the same time, i do not have a fever. I am noticing it more as the day goes on. I have been trying to take it easy.",IBS,for for quite a while i have noticed the pain often eases after i use the toilet diarrhea on some days and stress seems to make it worse at the same time i do not have a fever i am noticing it more as the day goes on i have been trying to take it easy,notice pain ease use toilet diarrhea day stress bad time not fever notice day go try easy,22
"I have had painful pimples on my cheeks for the past week, and I keep noticing small red bumps on my face as well as deep tender spots under my skin. It has been a real nuisance. On top of that, i do not have a fever.",Acne,i have had painful pimples on my cheeks for the past week and i keep noticing small red bumps on my face as well as deep tender spots under my skin it has been a real nuisance on top of that i do not have a fever,painful pimple cheek past week notice small red bump face deep tender spot skin real nuisance not fever,0
"I feel a mild cough, my head feels stuffy, and sneezing today. It feels mild but persistent. I am sleeping poorly because of it. I feel rough overall. One thing I can say is, i do not have severe body aches.",Common Cold,i feel a mild cough my head feels stuffy and sneezing today it feels mild but persistent i am sleeping poorly because of it i feel rough overall one thing i can say is i do not have severe body aches,feel mild cough head feel stuffy sneeze today feel mild persistent sleep poorly feel rough overall thing not severe body ache,10
"I feel I have pressure in my lower abdomen, it stings badly when I pee, and cloudy urine today. It feels mild but persistent. I am struggling to get through the day. I feel off in myself. Also, i do not have itchy eyes.",UTI,i feel i have pressure in my lower abdomen it stings badly when i pee and cloudy urine today it feels mild but persistent i am struggling to get through the day i feel off in myself also i do not have itchy eyes,feel pressure low abdomen sting badly pee cloudy urine today feel mild persistent struggle day feel not itchy eye,34
"I feel scratching makes it feel worse, itching that keeps spreading, and fever with a rash today. It feels mild but persistent. I am noticing it more as the day goes on. I feel rough overall. On top of that, i do not notice joint swelling.",Chickenpox,i feel scratching makes it feel worse itching that keeps spreading and fever with a rash today it feels mild but persistent i am noticing it more as the day goes on i feel rough overall on top of that i do not notice joint swelling,feel scratch make feel bad itching keep spread fever rash today feel mild persistent notice day go feel rough overall not notice joint swelling,9
"For since last week, I have been dealing with I feel worn down, I have a mild fever, and tightness in my chest. I am finding it hard to focus. I feel off in myself. On top of that, i do not have severe stomach cramps.",Bronchitis,for since last week i have been dealing with i feel worn down i have a mild fever and tightness in my chest i am finding it hard to focus i feel off in myself on top of that i do not have severe stomach cramps,week deal feel wear mild fever tightness chest find hard focus feel not severe stomach cramp,7
"For for the past day, I have noticed diarrhea, my stomach feels upset, and feeling feverish. At the same time, i do not have chest tightness. I am uncomfortable enough that it is affecting my routine. I have not noticed much improvement.",Gastroenteritis,for for the past day i have noticed diarrhea my stomach feels upset and feeling feverish at the same time i do not have chest tightness i am uncomfortable enough that it is affecting my routine i have not noticed much improvement,past day notice diarrhea stomach feel upset feel feverish time not chest tightness uncomfortable affect routine not notice improvement,17
"I feel my hair feels thinner, I feel sluggish, and my thinking feels slow today. It comes and goes but keeps bothering me. I am sleeping poorly because of it. It is knocking me about. On top of that, i do not have diarrhea.",Hypothyroidism,i feel my hair feels thinner i feel sluggish and my thinking feels slow today it comes and goes but keeps bothering me i am sleeping poorly because of it it is knocking me about on top of that i do not have diarrhea,feel hair feel thin feel sluggish thinking feel slow today come go keep bother sleep poorly knock not diarrhea,21
"For for a few days, I have noticed I feel wiped out, my throat feels sore, and loss of smell and taste. On top of that, i do not have ear pain. I am noticing it more as the day goes on. I have been trying to take it easy.",COVID-19,for for a few days i have noticed i feel wiped out my throat feels sore and loss of smell and taste on top of that i do not have ear pain i am noticing it more as the day goes on i have been trying to take it easy,day notice feel wipe throat feel sore loss smell taste not ear pain notice day go try easy,8
"For for a couple of days, I have noticed a painful blistering rash on one side of my body, the rash is only on one side, and I feel a burning sting. One thing I can say is, i do not have burning when i pee. it is getting in the way of my normal day. I have not noticed much improvement.",Shingles,for for a couple of days i have noticed a painful blistering rash on one side of my body the rash is only on one side and i feel a burning sting one thing i can say is i do not have burning when i pee it is getting in the way of my normal day i have not noticed much improvement,couple day notice painful blister rash body rash feel burning sting thing not burn pee get way normal day not notice improvement,28
"I have had sweating for no clear reason for since a short while ago, and I keep noticing I feel lightheaded as well as a crushing feeling in my chest. I feel off in myself. Also, i do not have itchy eyes.",Heart Attack,i have had sweating for no clear reason for since a short while ago and i keep noticing i feel lightheaded as well as a crushing feeling in my chest i feel off in myself also i do not have itchy eyes,sweating no clear reason short ago notice feel lightheaded crush feeling chest feel not itchy eye,19
"Lately I feel like I have chills, I feel shivery and weak, and extreme tiredness. I am noticing it more as the day goes on. It feels mild but persistent. On top of that, i do not have swollen toe joints.",Influenza,lately i feel like i have chills i feel shivery and weak and extreme tiredness i am noticing it more as the day goes on it feels mild but persistent on top of that i do not have swollen toe joints,lately feel like chill feel shivery weak extreme tiredness notice day go feel mild persistent not swell toe joint,23
"I feel aching joints, my joints feel creaky, and gripping things feels harder today. It comes and goes but keeps bothering me. I am finding it hard to focus. I feel rough overall. At least, i do not notice stomach cramps.",Arthritis,i feel aching joints my joints feel creaky and gripping things feels harder today it comes and goes but keeps bothering me i am finding it hard to focus i feel rough overall at least i do not notice stomach cramps,feel aching joint joint feel creaky grip thing feel hard today come go keep bother find hard focus feel rough overall not notice stomach cramp,5
"Lately, I have been dealing with constant tiredness, shortness of breath with little effort, and dizziness when I stand up for for quite a while. It feels moderate and annoying. it is getting in the way of my normal day. At the same time, i do not have vomiting. it does not seem to settle fully.",Anaemia,lately i have been dealing with constant tiredness shortness of breath with little effort and dizziness when i stand up for for quite a while it feels moderate and annoying it is getting in the way of my normal day at the same time i do not have vomiting it does not seem to settle fully,lately deal constant tiredness shortness breath little effort dizziness stand feel moderate annoying get way normal day time not vomit not settle fully,2
"I have been dealing with the rash is on my torso and face and my skin feels very irritated, and I also notice itching that keeps spreading. It feels moderate and annoying. I feel rough overall. Also, i do not have severe belly cramps.",Chickenpox,i have been dealing with the rash is on my torso and face and my skin feels very irritated and i also notice itching that keeps spreading it feels moderate and annoying i feel rough overall also i do not have severe belly cramps,deal rash torso face skin feel irritated notice itching keep spread feel moderate annoying feel rough overall not severe belly cramp,9
"For since yesterday, I have noticed I feel uncomfortable in my pelvis, it stings badly when I pee, and cloudy urine. At the same time, i do not have chest tightness. I am finding it hard to focus. I have not noticed much improvement.",UTI,for since yesterday i have noticed i feel uncomfortable in my pelvis it stings badly when i pee and cloudy urine at the same time i do not have chest tightness i am finding it hard to focus i have not noticed much improvement,yesterday notice feel uncomfortable pelvis sting badly pee cloudy urine time not chest tightness find hard focus not notice improvement,34
"I started with some patches are flaky, and now I also have the rash keeps coming back and a rash in the bends of my arms. It feels pretty intense today. One thing I can say is, i do not have severe stomach pain. I have been trying to take it easy.",Eczema,i started with some patches are flaky and now i also have the rash keeps coming back and a rash in the bends of my arms it feels pretty intense today one thing i can say is i do not have severe stomach pain i have been trying to take it easy,start patch flaky rash keep come rash bend arm feel pretty intense today thing not severe stomach pain try easy,14
"I have had pain that is worst at night for since early this morning, and I keep noticing redness around my toe joint as well as even the bedsheet hurts against it. I feel off in myself. At the same time, i do not have vomiting.",Gout,i have had pain that is worst at night for since early this morning and i keep noticing redness around my toe joint as well as even the bedsheet hurts against it i feel off in myself at the same time i do not have vomiting,pain bad night early morning notice redness toe joint bedsheet hurt feel time not vomit,18
"I keep having I have post nasal drip, I keep rubbing my eyes, and itching in my nose and throat for for a few days. It feels moderate and annoying. I am struggling to get through the day. Also, i do not have a fever. I have been trying to take it easy.",Allergic Rhinitis,i keep having i have post nasal drip i keep rubbing my eyes and itching in my nose and throat for for a few days it feels moderate and annoying i am struggling to get through the day also i do not have a fever i have been trying to take it easy,have post nasal drip rub eye itching nose throat day feel moderate annoying struggle day not fever try easy,1
"Lately I feel like I have flaky skin on my scalp, it keeps coming back in the same spots, and thick scaly patches on my skin. it is making simple tasks feel harder. It feels moderate and annoying. At the same time, i do not have burning when i pee.",Psoriasis,lately i feel like i have flaky skin on my scalp it keeps coming back in the same spots and thick scaly patches on my skin it is making simple tasks feel harder it feels moderate and annoying at the same time i do not have burning when i pee,lately feel like flaky skin scalp keep come spot thick scaly patch skin make simple task feel hard feel moderate annoying time not burn pee,27
"I have been dealing with constant worrying and tightness in my chest from stress, and I also notice feeling on edge all the time. It feels mild but persistent. I feel off in myself. At the same time, i do not have a fever.",Anxiety Disorder,i have been dealing with constant worrying and tightness in my chest from stress and i also notice feeling on edge all the time it feels mild but persistent i feel off in myself at the same time i do not have a fever,deal constant worrying tightness chest stress notice feeling edge time feel mild persistent feel time not fever,3
"I started with I only pass small amounts each time, and now I also have I have pressure in my lower abdomen and feeling like I need to pee again right away. It feels pretty intense today. On top of that, i do not have chest tightness. I do not think it is from anything obvious.",UTI,i started with i only pass small amounts each time and now i also have i have pressure in my lower abdomen and feeling like i need to pee again right away it feels pretty intense today on top of that i do not have chest tightness i do not think it is from anything obvious,start pass small amount time pressure low abdomen feel like need pee right away feel pretty intense today not chest tightness not think obvious,34
"I have had tingling followed by a rash for since the pain started a day ago, and I keep noticing the skin feels prickly as well as a stripe like rash. It is really starting to get on my nerves. At the same time, i do not have diarrhea.",Shingles,i have had tingling followed by a rash for since the pain started a day ago and i keep noticing the skin feels prickly as well as a stripe like rash it is really starting to get on my nerves at the same time i do not have diarrhea,tingling follow rash pain start day ago notice skin feel prickly stripe like rash start nerve time not diarrhea,28
"For for a few days, I have noticed reduced hearing on one side, pressure inside my ear, and throbbing pain in my ear. On top of that, i do not have burning when i pee. I am noticing it more as the day goes on. it does not seem to settle fully.",Ear Infection,for for a few days i have noticed reduced hearing on one side pressure inside my ear and throbbing pain in my ear on top of that i do not have burning when i pee i am noticing it more as the day goes on it does not seem to settle fully,day notice reduce hearing pressure inside ear throb pain ear not burn pee notice day go not settle fully,13
"I have had I feel very weak for for several days, and I keep noticing bringing up phlegm as well as my breathing feels heavy. It has been a real nuisance. At the same time, i do not have burning when i pee.",Pneumonia,i have had i feel very weak for for several days and i keep noticing bringing up phlegm as well as my breathing feels heavy it has been a real nuisance at the same time i do not have burning when i pee,feel weak day notice bring phlegm breathing feel heavy real nuisance time not burn pee,26
"For for about a week, I have been dealing with a chesty cough, I feel rattly in my chest, and the cough is hanging on. I am noticing it more as the day goes on. It is knocking me about. Also, i do not have burning when i pee.",Bronchitis,for for about a week i have been dealing with a chesty cough i feel rattly in my chest and the cough is hanging on i am noticing it more as the day goes on it is knocking me about also i do not have burning when i pee,week deal chesty cough feel rattly chest cough hang notice day go knock not burn pee,7
"For most evenings, I have noticed a sour taste in my mouth, my throat feels irritated, and heartburn. One thing I can say is, i do not have burning when i pee. I am noticing it more as the day goes on. I do not think it is from anything obvious.",GERD,for most evenings i have noticed a sour taste in my mouth my throat feels irritated and heartburn one thing i can say is i do not have burning when i pee i am noticing it more as the day goes on i do not think it is from anything obvious,evening notice sour taste mouth throat feel irritated heartburn thing not burn pee notice day go not think obvious,16
"For since yesterday, I have been dealing with watery eyes, I keep wanting to rub them, and red eyes. I am struggling to get through the day. It is knocking me about. Also, i do not have a cough.",Conjunctivitis,for since yesterday i have been dealing with watery eyes i keep wanting to rub them and red eyes i am struggling to get through the day it is knocking me about also i do not have a cough,yesterday deal watery eye want rub red eye struggle day knock not cough,11
"I started with feeling like I need to pee again right away, and now I also have I feel uncomfortable in my pelvis and I have pressure in my lower abdomen. It feels pretty intense today. Also, i do not have chest tightness. I have been trying to take it easy.",UTI,i started with feeling like i need to pee again right away and now i also have i feel uncomfortable in my pelvis and i have pressure in my lower abdomen it feels pretty intense today also i do not have chest tightness i have been trying to take it easy,start feeling like need pee right away feel uncomfortable pelvis pressure low abdomen feel pretty intense today not chest tightness try easy,34
"For since earlier today, I have been dealing with nausea with stomach pain, a tender belly on the right side, and walking makes the pain worse. it is making simple tasks feel harder. It has been a real nuisance. On top of that, i do not have itchy eyes.",Appendicitis,for since earlier today i have been dealing with nausea with stomach pain a tender belly on the right side and walking makes the pain worse it is making simple tasks feel harder it has been a real nuisance on top of that i do not have itchy eyes,early today deal nausea stomach pain tender belly right walk make pain bad make simple task feel hard real nuisance not itchy eye,4
"For since last night, I have been dealing with a tender belly on the right side, sharp pain in my lower right abdomen, and pain that started near my belly button and moved to the lower right side. it is getting in the way of my normal day. It has been a real nuisance. Also, i do not notice a skin rash.",Appendicitis,for since last night i have been dealing with a tender belly on the right side sharp pain in my lower right abdomen and pain that started near my belly button and moved to the lower right side it is getting in the way of my normal day it has been a real nuisance also i do not notice a skin rash,night deal tender belly right sharp pain low right abdomen pain start near belly button move low right get way normal day real nuisance not notice skin rash,4
"Lately I feel like I have my chest feels tight after walking, a cough that gets worse at night, and my breathing sounds whistly. I am sleeping poorly because of it. It feels moderate and annoying. Also, i do not have crushing chest pain.",Asthma,lately i feel like i have my chest feels tight after walking a cough that gets worse at night and my breathing sounds whistly i am sleeping poorly because of it it feels moderate and annoying also i do not have crushing chest pain,lately feel like chest feel tight walk cough get bad night breathing sound whistly sleep poorly feel moderate annoying not crush chest pain,6
"I keep having I feel panicky without a clear reason, my stomach gets tied in knots, and tightness in my chest from stress for for weeks. It feels mild but persistent. I am sleeping poorly because of it. Also, i do not have a productive cough. I do not think it is from anything obvious.",Anxiety Disorder,i keep having i feel panicky without a clear reason my stomach gets tied in knots and tightness in my chest from stress for for weeks it feels mild but persistent i am sleeping poorly because of it also i do not have a productive cough i do not think it is from anything obvious,have feel panicky without clear reason stomach get tie knot tightness chest stress week feel mild persistent sleep poorly not productive cough not think obvious,3
"Lately I feel like I have my glands feel swollen, fever with throat pain, and my breath smells bad. I am finding it hard to focus. It feels mild but persistent. At least, i do not have joint swelling.",Tonsillitis,lately i feel like i have my glands feel swollen fever with throat pain and my breath smells bad i am finding it hard to focus it feels mild but persistent at least i do not have joint swelling,lately feel like gland feel swollen fever throat pain breath smell bad find hard focus feel mild persistent not joint swelling,32
"I have been dealing with a sour taste in my mouth and heavy meals make it worse, and I also notice acid coming up into my throat. It feels moderate and annoying. It has been a real nuisance. One thing I can say is, i do not have diarrhea.",GERD,i have been dealing with a sour taste in my mouth and heavy meals make it worse and i also notice acid coming up into my throat it feels moderate and annoying it has been a real nuisance one thing i can say is i do not have diarrhea,deal sour taste mouth heavy meal bad notice acid come throat feel moderate annoying real nuisance thing not diarrhea,16
"For for a few days, I have been dealing with loss of smell and taste, I feel shivery, and a dry cough. I am noticing it more as the day goes on. I feel off in myself. At the same time, i do not have ear pain.",COVID-19,for for a few days i have been dealing with loss of smell and taste i feel shivery and a dry cough i am noticing it more as the day goes on i feel off in myself at the same time i do not have ear pain,day deal loss smell taste feel shivery dry cough notice day go feel time not ear pain,8
"I have been dealing with vomiting and nausea, and I also notice the cramps keep coming back. It comes and goes but keeps bothering me. I feel rough overall. Also, i do not have itchy eyes.",Gastroenteritis,i have been dealing with vomiting and nausea and i also notice the cramps keep coming back it comes and goes but keeps bothering me i feel rough overall also i do not have itchy eyes,deal vomiting nausea notice cramp come come go keep bother feel rough overall not itchy eye,17
"For the past few days, I have had very low energy, I find it hard to focus, and my sleep is off for for weeks. It feels moderate and annoying. I am struggling to get through the day. Also, i do not have a rash. I have not noticed much improvement.",Depression,for the past few days i have had very low energy i find it hard to focus and my sleep is off for for weeks it feels moderate and annoying i am struggling to get through the day also i do not have a rash i have not noticed much improvement,past day low energy find hard focus sleep week feel moderate annoying struggle day not rash not notice improvement,12
"I have had I feel hopeless, very low energy, and I find it hard to focus for for the past month. It feels moderate and annoying. it is making simple tasks feel harder. At the same time, i do not have a fever. I do not think it is from anything obvious.",Depression,i have had i feel hopeless very low energy and i find it hard to focus for for the past month it feels moderate and annoying it is making simple tasks feel harder at the same time i do not have a fever i do not think it is from anything obvious,feel hopeless low energy find hard focus past month feel moderate annoying make simple task feel hard time not fever not think obvious,12
"I started with constipation, and now I also have dry skin and feeling cold more than usual. It feels pretty intense today. On top of that, i do not have a cough. it does not seem to settle fully.",Hypothyroidism,i started with constipation and now i also have dry skin and feeling cold more than usual it feels pretty intense today on top of that i do not have a cough it does not seem to settle fully,start constipation dry skin feel cold usual feel pretty intense today not cough not settle fully,21
"For since the pain started a day ago, I have noticed a stripe like rash, tingling followed by a rash, and a painful blistering rash on one side of my body. Also, i do not have swollen finger joints. I am sleeping poorly because of it. I do not think it is from anything obvious.",Shingles,for since the pain started a day ago i have noticed a stripe like rash tingling followed by a rash and a painful blistering rash on one side of my body also i do not have swollen finger joints i am sleeping poorly because of it i do not think it is from anything obvious,pain start day ago notice stripe like rash tingling follow rash painful blister rash body not swell finger joint sleep poorly not think obvious,28
"I have had a blocked feeling in my ear for since yesterday, and I keep noticing the pain is worse when I lie down as well as my ear feels full. It is really starting to get on my nerves. At the same time, i do not have swollen finger joints.",Ear Infection,i have had a blocked feeling in my ear for since yesterday and i keep noticing the pain is worse when i lie down as well as my ear feels full it is really starting to get on my nerves at the same time i do not have swollen finger joints,block feeling ear yesterday notice pain bad lie ear feel start nerve time not swollen finger joint,13
"I keep having feeling cold more than usual, my thinking feels slow, and constipation for for quite a while. It feels mild but persistent. I am noticing it more as the day goes on. At least, i do not have burning when i pee. I do not think it is from anything obvious.",Hypothyroidism,i keep having feeling cold more than usual my thinking feels slow and constipation for for quite a while it feels mild but persistent i am noticing it more as the day goes on at least i do not have burning when i pee i do not think it is from anything obvious,having feel cold usual thinking feel slow constipation feel mild persistent notice day go not burn pee not think obvious,21
"I keep having loss of interest in things I usually enjoy, I find it hard to focus, and I feel hopeless for for weeks. It feels pretty intense today. it is getting in the way of my normal day. One thing I can say is, i do not have a rash. I notice it more at certain times of day.",Depression,i keep having loss of interest in things i usually enjoy i find it hard to focus and i feel hopeless for for weeks it feels pretty intense today it is getting in the way of my normal day one thing i can say is i do not have a rash i notice it more at certain times of day,have loss interest thing usually enjoy find hard focus feel hopeless week feel pretty intense today get way normal day thing not rash notice certain time day,12
"Lately I feel like I have I have trouble sleeping, I feel panicky without a clear reason, and feeling on edge all the time. it is making simple tasks feel harder. It feels pretty intense today. At the same time, i do not have a productive cough.",Anxiety Disorder,lately i feel like i have i have trouble sleeping i feel panicky without a clear reason and feeling on edge all the time it is making simple tasks feel harder it feels pretty intense today at the same time i do not have a productive cough,lately feel like trouble sleep feel panicky without clear reason feeling edge time make simple task feel hard feel pretty intense today time not productive cough,3
"I have had the pain comes in intense waves for since this morning, and I keep noticing my lower back hurts badly on one side as well as waves of sharp pain. It is knocking me about. On top of that, i do not have a rash.",Kidney Stones,i have had the pain comes in intense waves for since this morning and i keep noticing my lower back hurts badly on one side as well as waves of sharp pain it is knocking me about on top of that i do not have a rash,pain come intense wave morning notice low hurt badly wave sharp pain knock not rash,24
"I have been dealing with I feel restless because of it and pain that shoots from my back toward my groin, and I also notice waves of sharp pain. It feels severe and hard to ignore. It has been a real nuisance. One thing I can say is, i do not have a cough.",Kidney Stones,i have been dealing with i feel restless because of it and pain that shoots from my back toward my groin and i also notice waves of sharp pain it feels severe and hard to ignore it has been a real nuisance one thing i can say is i do not have a cough,deal feel restless pain shoot groin notice wave sharp pain feel severe hard ignore real nuisance thing not cough,24
"I have had red eyes for since yesterday, and I keep noticing itchy irritated eyes as well as bright light bothers me. It has been a real nuisance. One thing I can say is, i do not have diarrhea.",Conjunctivitis,i have had red eyes for since yesterday and i keep noticing itchy irritated eyes as well as bright light bothers me it has been a real nuisance one thing i can say is i do not have diarrhea,red eye yesterday notice itchy irritated eye bright light bother real nuisance thing not diarrhea,11
"I feel severe pain in my side, the pain comes in intense waves, and waves of sharp pain today. It feels pretty intense today. I am noticing it more as the day goes on. I feel rough overall. At the same time, i do not have a sore throat.",Kidney Stones,i feel severe pain in my side the pain comes in intense waves and waves of sharp pain today it feels pretty intense today i am noticing it more as the day goes on i feel rough overall at the same time i do not have a sore throat,feel severe pain pain come intense wave wave sharp pain today feel pretty intense today notice day go feel rough overall time not sore throat,24
"Lately I feel like I have red inflamed patches on my skin, some patches are flaky, and my skin feels rough. I am sleeping poorly because of it. It feels severe and hard to ignore. Also, i do not have severe stomach pain.",Eczema,lately i feel like i have red inflamed patches on my skin some patches are flaky and my skin feels rough i am sleeping poorly because of it it feels severe and hard to ignore also i do not have severe stomach pain,lately feel like red inflame patch skin patch flaky skin feel rough sleep poorly feel severe hard ignore not severe stomach pain,14
"I have had bloating, diarrhea on some days, and stomach cramps for on and off for a long time. It feels pretty intense today. I am finding it hard to focus. At least, i do not have a cough. I do not think it is from anything obvious.",IBS,i have had bloating diarrhea on some days and stomach cramps for on and off for a long time it feels pretty intense today i am finding it hard to focus at least i do not have a cough i do not think it is from anything obvious,bloat diarrhea day stomach cramp long time feel pretty intense today find hard focus not cough not think obvious,22
"I have had stiffness in my knees and hands for for a long time, and I keep noticing my joints feel creaky as well as gripping things feels harder. It has been a real nuisance. One thing I can say is, i do not have burning when i pee.",Arthritis,i have had stiffness in my knees and hands for for a long time and i keep noticing my joints feel creaky as well as gripping things feels harder it has been a real nuisance one thing i can say is i do not have burning when i pee,stiffness knee hand long time notice joint feel creaky grip thing feel hard real nuisance thing not burn pee,5
"For for weeks, I have been dealing with restlessness that I cannot settle, feeling on edge all the time, and my stomach gets tied in knots. it is getting in the way of my normal day. I feel off in myself. Also, i do not have a fever.",Anxiety Disorder,for for weeks i have been dealing with restlessness that i cannot settle feeling on edge all the time and my stomach gets tied in knots it is getting in the way of my normal day i feel off in myself also i do not have a fever,week deal restlessness not settle feel edge time stomach get tie knot get way normal day feel not fever,3
"I started with pain that started near my belly button and moved to the lower right side, and now I also have pain that gets worse when I move and I feel slightly feverish. It comes and goes but keeps bothering me. At least, i do not have a runny nose. I have been trying to take it easy.",Appendicitis,i started with pain that started near my belly button and moved to the lower right side and now i also have pain that gets worse when i move and i feel slightly feverish it comes and goes but keeps bothering me at least i do not have a runny nose i have been trying to take it easy,start pain start near belly button move low right pain get bad feel slightly feverish come go keep bother not runny nose try easy,4
"I feel bringing up mucus when I cough, I feel worn down, and tightness in my chest today. It feels severe and hard to ignore. it is making simple tasks feel harder. I feel rough overall. On top of that, i do not have severe stomach cramps.",Bronchitis,i feel bringing up mucus when i cough i feel worn down and tightness in my chest today it feels severe and hard to ignore it is making simple tasks feel harder i feel rough overall on top of that i do not have severe stomach cramps,feel bring mucus cough feel worn tightness chest today feel severe hard ignore make simple task feel hard feel rough overall not severe stomach cramp,7
"I started with slurred speech, and now I also have the symptoms came on suddenly and my words are coming out wrong. It feels mild but persistent. At the same time, i do not have a runny nose. I have been trying to take it easy.",Stroke,i started with slurred speech and now i also have the symptoms came on suddenly and my words are coming out wrong it feels mild but persistent at the same time i do not have a runny nose i have been trying to take it easy,start slur speech symptom come suddenly word come wrong feel mild persistent time not runny nose try easy,30
"Lately I feel like I have my skin feels oily, the area looks irritated, and some spots look swollen. I am uncomfortable enough that it is affecting my routine. It feels pretty intense today. At the same time, i do not have a fever.",Acne,lately i feel like i have my skin feels oily the area looks irritated and some spots look swollen i am uncomfortable enough that it is affecting my routine it feels pretty intense today at the same time i do not have a fever,lately feel like skin feel oily area look irritated spot look swollen uncomfortable affect routine feel pretty intense today time not fever,0
