symptom_description,disease_label
"I feel thick nasal mucus, pain around my cheeks and forehead, and I have post nasal drip today. It feels pretty intense today. I am finding it hard to focus. It is knocking me about. Also, i do not have burning when i pee.",Sinusitis
"For since earlier today, I have been dealing with my stomach feels tight and sore, I feel sick to my stomach, and sharp pain in my lower right abdomen. I am noticing it more as the day goes on. It is really starting to get on my nerves. At least, i do not have itchy eyes.",Appendicitis
"I have been dealing with I get out of breath easily and a deep cough, and I also notice my chest hurts when I cough. It feels mild but persistent. I feel off in myself. One thing I can say is, i do not have a rash.",Pneumonia
"I feel I keep going to the toilet more often, I have noticed some weight change, and I feel drained today. It feels mild but persistent. I am struggling to get through the day. It is knocking me about. On top of that, i do not have a sore throat.",Type 2 Diabetes
"I have been dealing with I have noticed some weight change and feeling very thirsty, and I also notice slow healing cuts. It feels mild but persistent. It is really starting to get on my nerves. At the same time, i do not have a cough.",Type 2 Diabetes
"I started with bright light bothers me, and now I also have watery eyes and a gritty feeling in my eyes. It feels pretty intense today. Also, i do not have burning when i pee. I do not think it is from anything obvious.",Conjunctivitis
"I started with I feel sluggish, and now I also have constipation and dry skin. It feels mild but persistent. On top of that, i do not have a rash that itches. I do not think it is from anything obvious.",Hypothyroidism
"I started with bright light bothers me, and now I also have one eye started first and now both feel irritated and sticky discharge from my eyes. It comes and goes but keeps bothering me. On top of that, i do not have chest pain. it does not seem to settle fully.",Conjunctivitis
"I feel a throbbing headache on one side of my head, I sometimes see flashing lights, and I feel pressure behind one eye today. It feels severe and hard to ignore. it is getting in the way of my normal day. It has been a real nuisance. At least, i do not have a skin rash.",Migraine
"I have had spots all over my body for over the past two days, and I keep noticing the spots are at different stages as well as the rash is on my torso and face. I feel off in myself. Also, i do not have severe belly cramps.",Chickenpox
"For a few days, I have noticed painful pimples on my cheeks, the area looks irritated, and whiteheads and blackheads around my nose and forehead. One thing I can say is, i do not feel sick otherwise. it is getting in the way of my normal day. it does not seem to settle fully.",Acne
"For for a couple of days, I have been dealing with fever with a rash, the rash is on my torso and face, and spots all over my body. I am finding it hard to focus. It is really starting to get on my nerves. Also, i do not have burning when i pee.",Chickenpox
"For since earlier today, I have noticed severe pain in my side, I cannot get comfortable, and there is blood in my urine. Also, i do not have a rash. I am noticing it more as the day goes on. I have been trying to take it easy.",Kidney Stones
"Lately I feel like I have walking makes the pain worse, I feel sick to my stomach, and nausea with stomach pain. I am sleeping poorly because of it. It feels pretty intense today. At the same time, i do not have a runny nose.",Appendicitis
"For for a while now, I have noticed cracked skin, the area stings when I scratch, and a rash in the bends of my arms. At least, i do not have a fever. I am struggling to get through the day. it does not seem to settle fully.",Eczema
"I keep having I feel very weak, my chest hurts when I cough, and I get out of breath easily for for a few days. It feels severe and hard to ignore. I am noticing it more as the day goes on. On top of that, i do not have burning when i pee. I notice it more at certain times of day.",Pneumonia
"For for several hours, I have noticed I feel pressure behind one eye, I need to lie in a dark room, and a pounding headache. One thing I can say is, i do not have a cough. I am uncomfortable enough that it is affecting my routine. I have been trying to take it easy.",Migraine
"I have had the cramps come in waves for for several hours, and I keep noticing diarrhea as well as stomach cramps. It has been a real nuisance. One thing I can say is, i do not have a rash.",Food Poisoning
"I have had the flaking is noticeable for for weeks, and I keep noticing my skin feels irritated as well as thick scaly patches on my skin. It has been a real nuisance. Also, i do not have burning when i pee.",Psoriasis
"For for a few days, I have been dealing with I have a headache, a dry cough, and I get breathless more easily. I am finding it hard to focus. I feel off in myself. At the same time, i do not have a skin rash.",COVID-19
"I have had pain when I pee for for several hours, and I keep noticing waves of sharp pain as well as the pain comes in intense waves. It has been a real nuisance. At the same time, i do not have a rash.",Kidney Stones
"I started with I feel pressure behind one eye, and now I also have nausea with my headache and I sometimes see flashing lights. It feels severe and hard to ignore. On top of that, i do not have a skin rash. I do not think it is from anything obvious.",Migraine
"I started with high fever, and now I also have a dry cough and I want to stay in bed all day. It comes and goes but keeps bothering me. Also, i do not have ear discharge. I have not noticed much improvement.",Influenza
"For since earlier today, I have been dealing with walking makes the pain worse, sharp pain in my lower right abdomen, and pain that gets worse when I move. I am struggling to get through the day. It is really starting to get on my nerves. On top of that, i do not have much diarrhea.",Appendicitis
"I feel I have mild sinus pressure, my throat feels scratchy, and a runny nose today. It feels moderate and annoying. it is making simple tasks feel harder. I feel off in myself. Also, i do not have severe body aches.",Common Cold
"For most days lately, I have been dealing with restlessness that I cannot settle, a racing heart when nothing is happening, and I feel shaky and tense. it is getting in the way of my normal day. I feel rough overall. One thing I can say is, i do not have a fever.",Anxiety Disorder
"I started with I feel a bit feverish, and now I also have feeling sick after eating and stomach cramps. It feels mild but persistent. At least, i do not have joint stiffness. I notice it more at certain times of day.",Food Poisoning
"For for several hours, I have been dealing with I cannot get comfortable, I feel restless because of it, and the pain comes in intense waves. I am noticing it more as the day goes on. I feel rough overall. Also, i do not have itchy eyes.",Kidney Stones
"I have been dealing with a throbbing headache on one side of my head and I need to lie in a dark room, and I also notice moving makes it worse. It feels pretty intense today. I feel off in myself. On top of that, i do not have diarrhea.",Migraine
"I feel I have trouble concentrating, looking unusually pale, and dizziness when I stand up today. It feels pretty intense today. I am uncomfortable enough that it is affecting my routine. I feel rough overall. At least, i do not have a sore throat.",Anaemia
"For since the weekend, I have noticed a chesty cough, mild shortness of breath, and I feel rattly in my chest. At least, i do not have severe stomach cramps. I am struggling to get through the day. I notice it more at certain times of day.",Bronchitis
"I have been noticing pain when I pee, I feel restless because of it, and there is blood in my urine for for several hours. It feels mild but persistent. I am uncomfortable enough that it is affecting my routine. On top of that, i do not have a cough. I do not think it is from anything obvious.",Kidney Stones
"I started with my skin feels irritated, and now I also have dry raised skin patches and red plaques with silvery scale. It feels severe and hard to ignore. On top of that, i do not have burning when i pee. it does not seem to settle fully.",Psoriasis
"I keep having one side feels heavy, I feel unsteady, and my face feels droopy on one side for very suddenly today. It feels moderate and annoying. I am finding it hard to focus. At least, i do not have diarrhea. it does not seem to settle fully.",Stroke
"For for weeks, I have noticed trouble getting myself going, very low energy, and my sleep is off. Also, i do not have a rash. I am sleeping poorly because of it. I have not noticed much improvement.",Depression
"I started with I noticed it during a blood pressure check, and now I also have pressure in my head and the headache is dull rather than sharp. It comes and goes but keeps bothering me. At the same time, i do not have vomiting. I have not noticed much improvement.",Hypertension
"I have had very low energy for for weeks, and I keep noticing my appetite has changed as well as I find it hard to focus. It is really starting to get on my nerves. One thing I can say is, i do not have a productive cough.",Depression
"For shortly after I ate, I have been dealing with I feel weak and washed out, I cannot keep food down, and my stomach is churning. I am struggling to get through the day. It has been a real nuisance. Also, i do not have joint stiffness.",Food Poisoning
"Lately I feel like I have the side of my face feels sore, ear pain, and reduced hearing on one side. I am noticing it more as the day goes on. It feels moderate and annoying. One thing I can say is, i do not have swollen finger joints.",Ear Infection
"I have had a dry cough for since the day before yesterday, and I keep noticing feeling very tired as well as fever. I feel rough overall. On top of that, i do not notice swollen joints.",COVID-19
"Lately I feel like I have sharp pain in my lower right abdomen, walking makes the pain worse, and a tender belly on the right side. it is getting in the way of my normal day. It feels severe and hard to ignore. On top of that, i do not have itchy eyes.",Appendicitis
"For for the past several days, I have noticed I feel panicky without a clear reason, my stomach gets tied in knots, and tightness in my chest from stress. At the same time, i do not notice a rash. I am struggling to get through the day. I do not think it is from anything obvious.",Anxiety Disorder
"I started with I feel rattly in my chest, and now I also have my throat feels irritated from coughing and I have a mild fever. It feels severe and hard to ignore. One thing I can say is, i do not have red itchy eyes. I have not noticed much improvement.",Bronchitis
"For for several hours, I have noticed vomiting, I feel weak and washed out, and diarrhea. On top of that, i do not have a rash. it is making simple tasks feel harder. I have not noticed much improvement.",Food Poisoning
"I have been dealing with fever with throat pain and pain when I swallow, and I also notice I feel run down. It feels pretty intense today. It is knocking me about. One thing I can say is, i do not have a skin rash.",Tonsillitis
"I started with diarrhea on some days, and now I also have my stomach is all over the place and abdominal discomfort that comes and goes. It comes and goes but keeps bothering me. Also, i do not have a fever. I notice it more at certain times of day.",IBS
"I have been dealing with sharp pain in my lower right abdomen and pain that gets worse when I move, and I also notice my stomach feels tight and sore. It feels mild but persistent. It is knocking me about. On top of that, i do not have itchy eyes.",Appendicitis
"Lately, I have been dealing with sensitivity to sound, I sometimes see flashing lights, and nausea with my headache for since this morning. It comes and goes but keeps bothering me. I am finding it hard to focus. One thing I can say is, i do not have a cough. it does not seem to settle fully.",Migraine
"I feel stomach cramps, my belly feels gassy, and I feel uncomfortable after some meals today. It comes and goes but keeps bothering me. I am noticing it more as the day goes on. It is knocking me about. At least, i do not have blood in my vomit.",IBS
"Lately I feel like I have I have post nasal drip, itchy watery eyes, and my nose is acting up around dust. I am noticing it more as the day goes on. It feels mild but persistent. On top of that, i do not have body aches.",Allergic Rhinitis
"I have had pain when I swallow for since yesterday, and I keep noticing my throat feels raw as well as my breath smells bad. I feel off in myself. One thing I can say is, i do not have burning when i pee.",Tonsillitis
"I have been dealing with my face feels droopy on one side and one side feels heavy, and I also notice sudden numbness in my arm. It feels severe and hard to ignore. I feel rough overall. On top of that, i do not have a rash.",Stroke
"I started with even small tasks feel heavy, and now I also have my appetite has changed and trouble getting myself going. It feels severe and hard to ignore. On top of that, i do not have a rash. it does not seem to settle fully.",Depression
"I have been dealing with small red bumps on my face and my skin feels oily, and I also notice deep tender spots under my skin. It comes and goes but keeps bothering me. It has been a real nuisance. Also, i do not feel sick otherwise.",Acne
"I feel scratching makes it feel worse, the rash is on my torso and face, and the spots are at different stages today. It comes and goes but keeps bothering me. it is getting in the way of my normal day. It is knocking me about. Also, i do not have chest pressure.",Chickenpox
"For most of today, I have been dealing with tightness around my forehead, my shoulders feel tense, and the pain is steady rather than throbbing. I am sleeping poorly because of it. It has been a real nuisance. Also, i do not have vomiting.",Tension Headache
"I have had some spots look swollen, breakouts along my jawline, and painful pimples on my cheeks for on and off this month. It comes and goes but keeps bothering me. it is getting in the way of my normal day. At the same time, i do not have a fever. I have not noticed much improvement.",Acne
"For for several days, I have been dealing with my skin feels rough, itching that gets worse at night, and a rash in the bends of my arms. I am uncomfortable enough that it is affecting my routine. It is knocking me about. One thing I can say is, i do not have a fever.",Eczema
"I feel constant worrying, restlessness that I cannot settle, and I feel shaky and tense today. It feels moderate and annoying. I am sleeping poorly because of it. I feel off in myself. At the same time, i do not have vomiting.",Anxiety Disorder
"Lately I feel like I have constant tiredness, shortness of breath with little effort, and I have trouble concentrating. I am uncomfortable enough that it is affecting my routine. It feels moderate and annoying. Also, i do not have a cough.",Anaemia
"I feel heavy meals make it worse, burning in my chest after meals, and I feel food coming back up today. It comes and goes but keeps bothering me. it is making simple tasks feel harder. It has been a real nuisance. On top of that, i do not have a rash.",GERD
"I have been dealing with a runny nose that will not stop and I keep rubbing my eyes, and I also notice my sinuses feel irritated. It feels mild but persistent. I feel rough overall. At least, i do not have a fever.",Allergic Rhinitis
"Lately I feel like I have pain that gets worse when I move, pain that started near my belly button and moved to the lower right side, and sharp pain in my lower right abdomen. I am finding it hard to focus. It comes and goes but keeps bothering me. At least, i do not notice a skin rash.",Appendicitis
"For on and off today, I have been dealing with a pounding headache, moving makes it worse, and I sometimes see flashing lights. it is making simple tasks feel harder. I feel rough overall. At least, i do not have burning when i pee.",Migraine
"I have had my knees feel puffy for more lately, and I keep noticing swollen finger joints as well as stiffness in my knees and hands. I feel off in myself. One thing I can say is, i do not notice stomach cramps.",Arthritis
"I started with sudden nausea, and now I also have stomach cramps and diarrhea. It feels severe and hard to ignore. On top of that, i do not have a blocked nose. I do not think it is from anything obvious.",Food Poisoning
"Lately I feel like I have aching joints, joint pain that is worse in the morning, and my knees feel puffy. it is making simple tasks feel harder. It feels moderate and annoying. On top of that, i do not notice stomach cramps.",Arthritis
"For more lately, I have noticed joint pain that is worse in the morning, my joints feel creaky, and aching joints. At least, i do not have burning when i pee. it is getting in the way of my normal day. I notice it more at certain times of day.",Arthritis
"I have had cold air makes it worse for for a couple of days, and I keep noticing my chest feels tight after walking as well as wheezing. It is really starting to get on my nerves. On top of that, i do not notice a rash.",Asthma
"For for a few days, I have been dealing with my throat feels sore, feeling very tired, and loss of smell and taste. it is making simple tasks feel harder. It is knocking me about. At least, i do not have burning when i pee.",COVID-19
"I have had a blocked nose for every morning lately, and I keep noticing my nose is acting up around dust as well as I have post nasal drip. I feel off in myself. On top of that, i do not have a fever.",Allergic Rhinitis
"For since the weekend, I have noticed fever, my chest hurts when I cough, and I get out of breath easily. At least, i do not have a rash. I am noticing it more as the day goes on. I notice it more at certain times of day.",Pneumonia
"I have had my ear feels full for since yesterday, and I keep noticing reduced hearing on one side as well as throbbing pain in my ear. It has been a real nuisance. On top of that, i do not have diarrhea.",Ear Infection
"I feel loss of smell and taste, I have a headache, and feeling very tired today. It feels pretty intense today. I am uncomfortable enough that it is affecting my routine. It has been a real nuisance. On top of that, i do not have ear pain.",COVID-19
"Lately I feel like I have pain that shoots from my back toward my groin, waves of sharp pain, and my lower back hurts badly on one side. it is making simple tasks feel harder. It comes and goes but keeps bothering me. At least, i do not have a sore throat.",Kidney Stones
"Since earlier, I have had pain that shoots from my back toward my groin, nausea from the pain, and my lower back hurts badly on one side for since earlier today. It feels severe and hard to ignore. it is making simple tasks feel harder. At least, i do not have a sore throat. I have not noticed much improvement.",Kidney Stones
"Lately I feel like I have shortness of breath, it feels like an elephant is sitting on my chest, and a crushing feeling in my chest. I am uncomfortable enough that it is affecting my routine. It feels mild but persistent. Also, i do not have burning when i pee.",Heart Attack
"For for a long time, I have noticed my knees feel puffy, stiffness in my knees and hands, and the pain gets worse after activity. Also, i do not have a sore throat. it is making simple tasks feel harder. I notice it more at certain times of day.",Arthritis
"For since this morning, I have noticed nasal congestion, a sore throat, and I have mild sinus pressure. Also, i do not have a high fever. I am struggling to get through the day. I do not think it is from anything obvious.",Common Cold
"I have been dealing with swollen finger joints and gripping things feels harder, and I also notice my knees feel puffy. It feels pretty intense today. I feel off in myself. Also, i do not have burning when i pee.",Arthritis
"Lately I feel like I have itchy watery eyes, my nose is acting up around dust, and a runny nose that will not stop. I am finding it hard to focus. It feels moderate and annoying. At least, i do not feel flu like.",Allergic Rhinitis
"I started with I have a headache, and now I also have my throat feels sore and loss of smell and taste. It feels mild but persistent. Also, i do not notice swollen joints. it does not seem to settle fully.",COVID-19
"I have been noticing constant sneezing, my nose is acting up around dust, and my sinuses feel irritated for every morning lately. It feels moderate and annoying. I am finding it hard to focus. At least, i do not feel flu like. I notice it more at certain times of day.",Allergic Rhinitis
"Lately I feel like I have I feel drained most of the day, I have trouble concentrating, and my heart feels like it is beating fast. it is making simple tasks feel harder. It feels pretty intense today. At the same time, i do not have vomiting.",Anaemia
"For for several days, I have noticed I feel shivery, fever, and shortness of breath. At least, i do not have itchy eyes. I am finding it hard to focus. it does not seem to settle fully.",Pneumonia
"I feel I feel like I got hit by a truck, extreme tiredness, and I want to stay in bed all day today. It comes and goes but keeps bothering me. I am struggling to get through the day. It has been a real nuisance. On top of that, i do not have burning when i pee.",Influenza
"For most weeks lately, I have been dealing with my belly feels gassy, stomach cramps, and the pain often eases after I use the toilet. it is getting in the way of my normal day. It is knocking me about. Also, i do not have a cough.",IBS
"For after meals lately, I have been dealing with my chest feels hot after eating, burning in my chest after meals, and heavy meals make it worse. it is getting in the way of my normal day. It is really starting to get on my nerves. One thing I can say is, i do not have a rash.",GERD
"I have had nausea with stomach pain for since earlier today, and I keep noticing I have lost my appetite as well as walking makes the pain worse. It is really starting to get on my nerves. At the same time, i do not have a runny nose.",Appendicitis
"Lately I feel like I have feeling very tired, fever, and loss of smell and taste. it is getting in the way of my normal day. It feels mild but persistent. At the same time, i do not notice swollen joints.",COVID-19
"Since earlier, I have had I get worn out very easily, my heart feels like it is beating fast, and shortness of breath with little effort for over the past month. It feels severe and hard to ignore. I am struggling to get through the day. On top of that, i do not have a cough. I have not noticed much improvement.",Anaemia
"I feel I feel food coming back up, my throat feels irritated, and discomfort that gets worse when I lie down today. It comes and goes but keeps bothering me. I am uncomfortable enough that it is affecting my routine. It is knocking me about. At least, i do not have a fever.",GERD
"For since early this morning, I have been dealing with walking is painful, the joint feels very tender, and it came on all of a sudden. it is getting in the way of my normal day. It is really starting to get on my nerves. On top of that, i do not have a sore throat.",Gout
"I have been dealing with my joints feel creaky and reduced movement in my joints, and I also notice gripping things feels harder. It feels mild but persistent. It is really starting to get on my nerves. At the same time, i do not have a sore throat.",Arthritis
"For on and off today, I have noticed I have to pause to catch my breath, a cough that gets worse at night, and I feel breathless around dust. Also, i do not have vomiting. I am noticing it more as the day goes on. I have been trying to take it easy.",Asthma
"I have been dealing with a gritty feeling in my eyes and itchy irritated eyes, and I also notice one eye started first and now both feel irritated. It feels mild but persistent. It is really starting to get on my nerves. At the same time, i do not have burning when i pee.",Conjunctivitis
"For for several days, I have been dealing with tightness in my chest, the cough is hanging on, and bringing up mucus when I cough. I am uncomfortable enough that it is affecting my routine. It has been a real nuisance. One thing I can say is, i do not have burning when i pee.",Bronchitis
"Lately I feel like I have I have pressure in my lower abdomen, feeling like I need to pee again right away, and it stings badly when I pee. I am sleeping poorly because of it. It feels pretty intense today. One thing I can say is, i do not have chest tightness.",UTI
"I feel the pain often eases after I use the toilet, abdominal discomfort that comes and goes, and I feel uncomfortable after some meals today. It feels pretty intense today. I am struggling to get through the day. I feel off in myself. One thing I can say is, i do not have a skin rash.",IBS
"For on and off this month, I have noticed the area looks irritated, my skin feels oily, and whiteheads and blackheads around my nose and forehead. At the same time, i do not notice any cough. it is getting in the way of my normal day. I notice it more at certain times of day.",Acne
"Lately I feel like I have tingling followed by a rash, the skin feels prickly, and burning skin pain. it is getting in the way of my normal day. It feels mild but persistent. At the same time, i do not have burning when i pee.",Shingles
"For for two days, I have been dealing with my nose will not stop dripping, a sore throat, and a runny nose. it is making simple tasks feel harder. It is really starting to get on my nerves. One thing I can say is, i do not have chest pain.",Common Cold
"Lately, I have been dealing with my throat feels sore, a dry cough, and fever for since yesterday. It feels severe and hard to ignore. I am uncomfortable enough that it is affecting my routine. At least, i do not notice swollen joints. I have been trying to take it easy.",COVID-19
"For for months, I have been dealing with I feel drained, my mouth feels dry, and I keep going to the toilet more often. I am sleeping poorly because of it. I feel off in myself. At the same time, i do not have vomiting.",Type 2 Diabetes
"For since yesterday, I have been dealing with my eyes look pink, I keep wanting to rub them, and watery eyes. I am struggling to get through the day. It is really starting to get on my nerves. At the same time, i do not have diarrhea.",Conjunctivitis
"I keep having I have trouble sleeping, my stomach gets tied in knots, and a racing heart when nothing is happening for for weeks. It feels mild but persistent. I am noticing it more as the day goes on. On top of that, i do not have a productive cough. it does not seem to settle fully.",Anxiety Disorder
"For for a long time, I have been dealing with my sleep is off, I find it hard to focus, and trouble getting myself going. it is getting in the way of my normal day. I feel off in myself. At the same time, i do not have a productive cough.",Depression
"I have been dealing with shortness of breath and bringing up phlegm, and I also notice I feel shivery. It feels moderate and annoying. It has been a real nuisance. Also, i do not have burning when i pee.",Pneumonia
"Lately I feel like I have pressure in my head, occasional dizziness, and I noticed it during a blood pressure check. I am noticing it more as the day goes on. It feels moderate and annoying. Also, i do not have a skin rash.",Hypertension
"I feel red inflamed patches on my skin, my skin feels rough, and some patches are flaky today. It feels pretty intense today. I am uncomfortable enough that it is affecting my routine. I feel off in myself. Also, i do not have a cough.",Eczema
"I have been dealing with my hair feels thinner and constipation, and I also notice feeling cold more than usual. It feels severe and hard to ignore. I feel rough overall. At least, i do not have a cough.",Hypothyroidism
"For for a few days, I have been dealing with a dry cough, I have a headache, and my throat feels sore. I am uncomfortable enough that it is affecting my routine. It is really starting to get on my nerves. One thing I can say is, i do not notice swollen joints.",COVID-19
"Since earlier, I have had I sometimes see flashing lights, a pounding headache, and a throbbing headache on one side of my head for since earlier today. It feels severe and hard to ignore. I am noticing it more as the day goes on. Also, i do not have diarrhea. I have not noticed much improvement.",Migraine
"Lately I feel like I have I sometimes feel fine but my readings stay high, repeated high blood pressure readings, and I feel a bit lightheaded. it is making simple tasks feel harder. It feels pretty intense today. Also, i do not have a skin rash.",Hypertension
"I feel diarrhea, I have no appetite, and the cramps keep coming back today. It comes and goes but keeps bothering me. I am sleeping poorly because of it. I feel rough overall. At the same time, i do not have chest tightness.",Gastroenteritis
"Lately I feel like I have the pain comes in intense waves, my lower back hurts badly on one side, and severe pain in my side. I am noticing it more as the day goes on. It feels severe and hard to ignore. At the same time, i do not have itchy eyes.",Kidney Stones
"I feel swollen finger joints, aching joints, and gripping things feels harder today. It feels moderate and annoying. it is getting in the way of my normal day. I feel rough overall. At the same time, i do not have a cough.",Arthritis
"I have had stomach cramps for for quite a while, and I keep noticing bloating as well as I feel uncomfortable after some meals. I feel rough overall. On top of that, i do not have a skin rash.",IBS
"I feel the symptoms came on suddenly, sudden weakness on one side of my body, and my face feels droopy on one side today. It comes and goes but keeps bothering me. it is making simple tasks feel harder. I feel off in myself. On top of that, i do not have itching in my eyes.",Stroke
"I have been dealing with the pain is steady rather than throbbing and neck tension with a headache, and I also notice tightness around my forehead. It feels severe and hard to ignore. It is really starting to get on my nerves. At least, i do not have a rash.",Tension Headache
"For for two days, I have been dealing with watery eyes, my eyelids are a bit crusty, and bright light bothers me. it is getting in the way of my normal day. It has been a real nuisance. On top of that, i do not have diarrhea.",Conjunctivitis
"Lately I feel like I have painful pimples on my cheeks, small red bumps on my face, and breakouts along my jawline. I am sleeping poorly because of it. It feels mild but persistent. One thing I can say is, i do not feel sick otherwise.",Acne
"Since earlier, I have had I feel sick to my stomach, the pain goes into my jaw, and a crushing feeling in my chest for since earlier today. It comes and goes but keeps bothering me. I am sleeping poorly because of it. One thing I can say is, i do not have burning when i pee. I notice it more at certain times of day.",Heart Attack
"Since earlier, I have had thick nasal mucus, my upper teeth ache a bit, and pain around my cheeks and forehead for for about a week. It feels moderate and annoying. I am noticing it more as the day goes on. On top of that, i do not have vomiting. it does not seem to settle fully.",Sinusitis
"For for the past hour, I have been dealing with I feel lightheaded, pain spreading into my left arm, and sweating for no clear reason. it is getting in the way of my normal day. I feel off in myself. At least, i do not have burning when i pee.",Heart Attack
"Lately I feel like I have I get out of breath easily, I feel shivery, and chest pain when I breathe deeply. I am struggling to get through the day. It feels pretty intense today. One thing I can say is, i do not have itchy eyes.",Pneumonia
"I have had a few bumps have pus in them for on and off this month, and I keep noticing the area looks irritated as well as some spots look swollen. It is knocking me about. On top of that, i do not feel sick otherwise.",Acne
"I started with my hair feels thinner, and now I also have constipation and dry skin. It comes and goes but keeps bothering me. At the same time, i do not have a rash that itches. I notice it more at certain times of day.",Hypothyroidism
"I have had a few bumps have pus in them, painful pimples on my cheeks, and small red bumps on my face for on and off this month. It feels pretty intense today. I am uncomfortable enough that it is affecting my routine. One thing I can say is, i do not have body aches. I have not noticed much improvement.",Acne
"I have had chest pain when I breathe deeply for for a few days, and I keep noticing my chest hurts when I cough as well as I feel shivery. It is knocking me about. Also, i do not have itchy eyes.",Pneumonia
"I have had feeling empty for for a long time, and I keep noticing trouble getting myself going as well as loss of interest in things I usually enjoy. I feel off in myself. One thing I can say is, i do not have a rash.",Depression
"I have been dealing with I feel shivery and shortness of breath, and I also notice chest pain when I breathe deeply. It feels mild but persistent. It has been a real nuisance. At the same time, i do not have itchy eyes.",Pneumonia
"Lately I feel like I have feeling very tired, a dry cough, and I have a headache. I am sleeping poorly because of it. It feels severe and hard to ignore. On top of that, i do not have ear pain.",COVID-19
"I started with I can still function but it is annoying, and now I also have it feels like a tight strap around my head and stress seems to bring it on. It feels mild but persistent. On top of that, i do not have burning when i pee. I have been trying to take it easy.",Tension Headache
"I have been dealing with a swollen hot joint and sharp joint pain, and I also notice even the bedsheet hurts against it. It feels mild but persistent. I feel off in myself. On top of that, i do not have burning when i pee.",Gout
"For the past few days, I have had my skin feels irritated, dry raised skin patches, and thick scaly patches on my skin for on and off lately. It feels pretty intense today. it is getting in the way of my normal day. At least, i do not have burning when i pee. it does not seem to settle fully.",Psoriasis
"Since earlier, I have had my stomach is churning, I cannot keep food down, and the cramps come in waves for since last night. It feels severe and hard to ignore. I am struggling to get through the day. At the same time, i do not have a blocked nose. I do not think it is from anything obvious.",Food Poisoning
"I have had dry skin for for quite a while, and I keep noticing my hair feels thinner as well as I feel sluggish. It is knocking me about. On top of that, i do not have a cough.",Hypothyroidism
"For for the past day, I have been dealing with my stomach feels upset, nausea, and feeling feverish. it is making simple tasks feel harder. It is knocking me about. On top of that, i do not have itchy eyes.",Gastroenteritis
"For for quite a while, I have noticed the pain often eases after I use the toilet, diarrhea on some days, and stress seems to make it worse. At the same time, i do not have a fever. I am noticing it more as the day goes on. I have been trying to take it easy.",IBS
"I have had painful pimples on my cheeks for the past week, and I keep noticing small red bumps on my face as well as deep tender spots under my skin. It has been a real nuisance. On top of that, i do not have a fever.",Acne
"I feel a mild cough, my head feels stuffy, and sneezing today. It feels mild but persistent. I am sleeping poorly because of it. I feel rough overall. One thing I can say is, i do not have severe body aches.",Common Cold
"I feel I have pressure in my lower abdomen, it stings badly when I pee, and cloudy urine today. It feels mild but persistent. I am struggling to get through the day. I feel off in myself. Also, i do not have itchy eyes.",UTI
"I feel scratching makes it feel worse, itching that keeps spreading, and fever with a rash today. It feels mild but persistent. I am noticing it more as the day goes on. I feel rough overall. On top of that, i do not notice joint swelling.",Chickenpox
"For since last week, I have been dealing with I feel worn down, I have a mild fever, and tightness in my chest. I am finding it hard to focus. I feel off in myself. On top of that, i do not have severe stomach cramps.",Bronchitis
"For for the past day, I have noticed diarrhea, my stomach feels upset, and feeling feverish. At the same time, i do not have chest tightness. I am uncomfortable enough that it is affecting my routine. I have not noticed much improvement.",Gastroenteritis
"I feel my hair feels thinner, I feel sluggish, and my thinking feels slow today. It comes and goes but keeps bothering me. I am sleeping poorly because of it. It is knocking me about. On top of that, i do not have diarrhea.",Hypothyroidism
"For for a few days, I have noticed I feel wiped out, my throat feels sore, and loss of smell and taste. On top of that, i do not have ear pain. I am noticing it more as the day goes on. I have been trying to take it easy.",COVID-19
"For for a couple of days, I have noticed a painful blistering rash on one side of my body, the rash is only on one side, and I feel a burning sting. One thing I can say is, i do not have burning when i pee. it is getting in the way of my normal day. I have not noticed much improvement.",Shingles
"I have had sweating for no clear reason for since a short while ago, and I keep noticing I feel lightheaded as well as a crushing feeling in my chest. I feel off in myself. Also, i do not have itchy eyes.",Heart Attack
"Lately I feel like I have chills, I feel shivery and weak, and extreme tiredness. I am noticing it more as the day goes on. It feels mild but persistent. On top of that, i do not have swollen toe joints.",Influenza
"I feel aching joints, my joints feel creaky, and gripping things feels harder today. It comes and goes but keeps bothering me. I am finding it hard to focus. I feel rough overall. At least, i do not notice stomach cramps.",Arthritis
"Lately, I have been dealing with constant tiredness, shortness of breath with little effort, and dizziness when I stand up for for quite a while. It feels moderate and annoying. it is getting in the way of my normal day. At the same time, i do not have vomiting. it does not seem to settle fully.",Anaemia
"I have been dealing with the rash is on my torso and face and my skin feels very irritated, and I also notice itching that keeps spreading. It feels moderate and annoying. I feel rough overall. Also, i do not have severe belly cramps.",Chickenpox
"For since yesterday, I have noticed I feel uncomfortable in my pelvis, it stings badly when I pee, and cloudy urine. At the same time, i do not have chest tightness. I am finding it hard to focus. I have not noticed much improvement.",UTI
"I started with some patches are flaky, and now I also have the rash keeps coming back and a rash in the bends of my arms. It feels pretty intense today. One thing I can say is, i do not have severe stomach pain. I have been trying to take it easy.",Eczema
"I have had pain that is worst at night for since early this morning, and I keep noticing redness around my toe joint as well as even the bedsheet hurts against it. I feel off in myself. At the same time, i do not have vomiting.",Gout
"I keep having I have post nasal drip, I keep rubbing my eyes, and itching in my nose and throat for for a few days. It feels moderate and annoying. I am struggling to get through the day. Also, i do not have a fever. I have been trying to take it easy.",Allergic Rhinitis
